,x,y,z,cluster_labels_baseline
325,5.8827114,11.454843,2.5745656,VLR
326,5.141547,9.95454,4.700995,VLR
327,2.9621985,3.1250384,4.9712734,HRBF
328,8.064669,8.885785,4.1945157,VLR
329,1.788833,7.1398296,5.2239437,LRMP
330,7.736516,7.1655436,1.9816033,VLR
331,0.76371354,7.9177675,6.2289934,LRMP
332,1.6031129,11.051985,2.8639135,LRMP
333,5.7773123,2.8736615,3.7325196,HRIR
334,5.1553144,9.885697,7.0278487,LRMP
335,0.7625136,8.990305,4.9888062,LRMP
336,3.968311,5.177775,3.5181718,HRBF
337,5.502627,10.363813,6.516756,VLR
338,5.8257422,1.3079463,1.7418821,HRIR
339,4.8562937,1.6344486,1.1375431,HRIR
340,3.0688305,8.895982,5.160903,LRMP
341,2.6948154,7.534568,6.4228096,LRMP
342,5.092808,8.158342,4.5396404,HRBF
343,8.536331,11.417568,4.060912,VLR
344,6.1142387,10.357868,4.3200555,VLR
345,4.638463,4.59996,3.545667,HRBF
346,5.173346,7.114085,7.3023357,HRBF
347,3.0170348,7.225196,7.0871334,HRBF
348,4.8968277,2.2207534,0.84010226,HRIR
349,1.5059766,9.862023,6.867257,LRMP
350,3.416061,3.5142958,6.6292825,HRBF
351,5.8249855,10.965866,1.8987432,VLR
352,3.8784714,6.199914,6.490882,HRBF
353,4.37588,11.896108,3.4838347,VLR
354,4.2233677,9.291058,6.643905,LRMP
355,3.2528563,5.5546455,1.91063,LRHB
356,4.195429,9.581551,2.2691267,VLR
357,6.518876,8.339627,5.290622,VLR
358,3.2050767,3.210273,2.0434556,LRHB
359,3.482666,2.0309043,4.038074,HRVP
360,1.0342168,6.2226415,5.913189,LRMP
361,4.8399973,11.677131,2.2343826,VLR
362,7.453027,7.6641445,2.398678,LRHB
363,7.8437533,10.879405,5.0745363,VLR
364,6.2879,8.543642,5.6283574,VLR
365,4.3774257,1.9964118,0.761559,HRIR
366,2.6713612,5.980868,1.7051684,LRHB
367,5.2517195,5.906627,0.6739599,LRHB
368,1.3344326,7.7121043,2.3864608,LRMP
369,3.7440853,4.8678665,0.72827995,LRHB
370,4.7223563,6.7738047,1.9076911,LRHB
371,2.7566266,3.2318163,0.89554036,LRHB
372,4.5934854,1.9234987,3.9536965,HRIR
373,5.6283197,8.033321,1.9450239,LRHB
374,5.4812922,8.39613,3.7096584,VLR
375,3.954289,1.3445306,1.3245872,HRIR
376,4.288249,2.9571712,0.04093002,LRHB
377,3.4615803,6.576215,0.3419267,LRHB
378,4.7146993,4.480535,-0.4721542,LRHB
379,4.7629104,5.5898433,5.305266,HRBF
380,6.3043075,5.6253295,2.053641,HRBF
381,4.697672,1.6836973,0.64334536,HRIR
382,5.6168265,3.3223224,3.6515348,HRBF
383,4.5317307,5.1386847,6.60973,HRBF
384,6.0106974,6.0759125,1.6601294,LRHB
385,2.7411919,7.7436757,2.6330607,LRHB
386,5.026897,7.037217,7.7219653,HRBF
387,4.0219183,3.6473196,4.1076913,HRBF
388,4.117358,3.3703742,2.5099826,HRIR
389,7.146805,8.219851,2.244665,LRHB
390,3.67097,5.837117,6.3850317,HRBF
391,4.0318193,8.901349,5.7186055,LRMP
392,5.890914,1.3058296,2.8559878,HRIR
393,2.7834103,1.7385819,4.131346,HRVP
394,5.6479335,9.592532,4.877184,VLR
395,5.9637103,4.9018545,1.0415984,LRHB
396,6.596466,3.7241812,2.6254675,HRIR
397,3.7052984,4.5723295,5.140901,HRBF
398,1.927041,5.314257,3.4302163,LRHB
