,x,y,z,cluster_labels_baseline
467,7.0035286,5.4647255,3.4816923,LRHB
468,4.829284,3.7161112,5.3886833,LRMP
469,5.6326847,7.4642997,8.208491,HRBF
470,8.411448,2.5940137,7.257882,LRMP
471,6.7478113,3.3508801,5.847512,LRMP
472,4.9395666,6.0569277,7.613823,HRBF
473,7.3131213,4.178068,8.0129385,HRVP
474,3.9754002,0.012650259,7.419801,LRMP
475,7.245106,8.347916,4.8328,HRIR
476,8.427916,5.286797,6.4733963,HRVP
477,2.1302304,-2.1945176,5.2322764,VLR
478,3.014805,0.3227209,3.4706566,VLR
479,3.7002027,-0.1920469,4.259233,VLR
480,1.7244412,-0.30017895,5.3296742,VLR
481,0.35119718,-1.8889742,3.4957657,VLR
482,5.119595,0.5536524,3.3757477,LRMP
483,2.1643643,1.4554536,8.784879,VLR
484,7.0766673,0.09652779,4.5399146,LRMP
485,3.2230508,5.511783,7.404893,HRBF
486,8.448159,6.8114386,5.1983733,HRVP
487,3.3616107,-0.78984916,6.1502447,VLR
488,3.6360211,4.9318953,3.7682438,LRHB
489,4.953335,2.4845798,8.529579,LRMP
490,2.3109467,3.0730033,2.644152,LRHB
492,2.1063364,2.4214504,4.47367,VLR
493,5.604044,3.4112968,9.11183,LRMP
494,5.710743,8.95319,5.189304,HRBF
495,1.8302505,-2.3156135,5.8259997,VLR
496,11.213211,3.6332085,6.4611735,HRVP
498,2.189917,1.5953822,7.540657,VLR
499,7.8758783,0.025034716,6.5918365,LRMP
500,4.419227,-0.87402153,4.264359,LRMP
502,5.5434847,-1.4075136,6.6640887,LRMP
504,8.278247,7.2835255,8.155249,HRVP
505,7.792892,3.8173597,8.498326,LRMP
506,0.89440924,-2.8001385,5.603686,VLR
507,8.181917,3.956775,5.9336762,LRMP
508,0.5722575,2.250304,7.040581,VLR
510,2.3284774,4.3442583,4.6471047,HRBF
511,4.5316825,-0.39131206,6.6580853,LRMP
512,0.9695276,4.390067,4.80298,HRBF
514,4.02106,3.9777741,8.661783,HRBF
515,6.5824575,4.3885827,6.2008696,HRBF
516,7.2783346,6.0319624,7.1196146,HRVP
518,6.780677,2.790085,7.360096,LRMP
519,7.3568807,7.1342425,6.123609,HRVP
521,2.6111634,-0.6397735,3.9424481,VLR
522,8.001612,4.627954,8.535725,HRVP
523,1.9738889,1.7801156,7.913123,HRBF
524,-0.23192112,-2.5458536,5.9927073,VLR
525,7.0682635,6.8816295,7.182008,HRBF
526,3.1154027,-1.007918,2.8478825,VLR
528,3.6302888,0.1591576,4.5705876,VLR
529,2.5704575,3.8819456,4.6692967,VLR
530,9.3163805,2.5768504,7.2831435,HRVP
531,7.6251454,6.217204,8.08117,HRVP
532,4.354354,0.08220727,5.462939,LRMP
533,0.99673307,4.17534,6.7824955,HRBF
534,6.433062,1.5323279,5.2027664,LRMP
535,4.2289524,0.021785464,6.3303394,LRMP
536,8.869272,2.4026542,6.8386607,HRVP
537,5.8433456,8.46317,6.7732773,HRBF
538,1.5400958,-0.76564693,3.0140705,VLR
540,-0.21300451,-1.1287954,5.8441052,VLR
541,7.57245,1.427308,5.603196,LRMP
542,6.473273,1.2661586,5.9740195,LRMP
543,0.996383,3.3227115,6.574637,VLR
544,4.3331194,4.09912,2.8783426,LRHB
545,0.12470605,-1.6376963,3.6926296,VLR
546,6.027926,-0.061972946,5.653972,LRMP
547,6.338527,5.1545477,5.63291,HRBF
548,5.3350525,5.701784,7.570911,HRBF
549,0.86320186,4.179677,3.6771784,VLR
551,1.7874919,-2.3610053,6.0692945,VLR
552,0.56700236,-1.5754322,7.155782,VLR
553,2.753498,-1.0118657,3.916885,VLR
554,5.1243067,4.099532,8.6781645,HRBF
555,11.029357,3.8291087,6.4588656,HRVP
556,6.898148,8.407097,6.5713162,HRBF
557,5.538618,-0.29600486,4.388959,LRMP
559,3.5285783,0.1961651,4.831693,LRMP
560,6.143533,2.9515464,9.2848,LRMP
561,6.996583,1.0431373,7.7510686,LRMP
564,1.7861724,1.3763258,5.145791,VLR
566,4.6101656,4.9580283,3.010847,LRHB
567,1.3422617,1.7414714,5.563741,VLR
568,1.7622284,2.184392,8.633559,VLR
